timestamp,status,ear,mar,hand_touch,distraction_score,fatigue_score,p_focus,p_distracted,p_fatigued
1758884663.855329,Focus,0.2526,0.0096,0,0.0875,0.0000,0.9125,0.0875,0.0000
1758884672.1530218,Fatigued,0.2044,0.0072,0,0.1313,0.0607,0.8190,0.1237,0.0573
1758884674.061704,Focus,0.2562,0.4547,0,0.1125,0.0000,0.8875,0.1125,0.0000
1758884676.8835247,Fatigued,0.1875,1.2569,0,0.0375,0.4166,0.5623,0.0361,0.4016
1758884682.5144978,Focus,0.2291,0.0016,0,0.1625,0.0278,0.8148,0.1581,0.0271
1758884684.4297123,Fatigued,0.2150,0.0265,1,0.6750,0.3799,0.2355,0.4892,0.2753
1758884690.1590526,Distracted,0.0000,0.0000,0,1.0000,0.3333,0.0000,0.7500,0.2500
1758884693.4742541,Fatigued,0.2047,0.0035,0,0.3500,0.0605,0.6129,0.3300,0.0570
1758884695.3750134,Focus,0.2535,0.0051,0,0.2313,0.0000,0.7688,0.2313,0.0000
1758884708.047143,Distracted,0.0000,0.0000,0,1.0000,0.3333,0.0000,0.7500,0.2500
